time,distance,speed,first,second,third
0.02,0.001432538,0.1176178,1.312808,48.65506,-61.53256
0.04,0.007722378,0.314492,2.753166,50.16329,-63.49799
0.06,0.01797867,0.5128145,3.349328,49.96376,-61.34531
0.08,0.03089237,0.6456852,2.973112,51.53453,-60.41089
0.09999999,0.04442239,0.6765008,2.440896,53.36023,-59.75214
0.12,0.05771041,0.6644011,1.980025,54.86721,-59.36252
0.14,0.06985152,0.6070554,1.565915,55.58228,-59.00851
0.16,0.07950056,0.4824519,0.6634953,55.5267,-58.72107
0.18,0.08735955,0.3929496,0.3470315,54.61517,-59.93964
0.2,0.09599233,0.431639,0.3755133,52.80809,-61.73889
0.22,0.10616,0.5083859,0.6183257,50.56855,-63.69958
0.24,0.1177083,0.577414,0.642584,48.29597,-65.67569
0.26,0.1306791,0.6485403,0.6321846,46.27447,-67.66364
0.28,0.1454065,0.7363677,0.4833205,44.90367,-69.26233
0.3,0.1621438,0.8368671,0.3587783,44.40718,-70.76257
0.32,0.1807321,0.9294152,0.2432387,44.27205,-72.22839
0.34,0.2009166,1.009226,0.1209284,44.1387,-73.67929
0.36,0.2222949,1.068914,0.03249998,43.88508,-75.02121
0.38,0.2429029,1.030397,-0.06771851,45.06449,-76.36789
0.4,0.2606227,0.8859932,-0.2537842,44.14006,-75.43695
0.42,0.2769043,0.8140802,-0.4412231,42.28736,-73.91794
0.4400001,0.2922316,0.7663608,-0.5838623,40.9889,-72.92722
0.4600001,0.3068645,0.731647,-0.6004333,39.85105,-72.28436
0.4800001,0.3212807,0.7208109,-0.06536865,38.70434,-72.96356
0.5000001,0.3351651,0.6942213,0.4489484,36.93407,-74.26392
0.52,0.3478259,0.6330371,1.050614,34.48781,-75.64792
0.54,0.3598558,0.6014943,1.662074,32.17585,-77.0502
0.56,0.3715787,0.5861461,2.218859,30.07721,-78.44272
0.58,0.3834095,0.5915403,2.083102,28.01892,-79.21674
0.6,0.3951943,0.5892396,1.759987,26.07892,-79.76703
0.6199999,0.4070377,0.5921721,1.522751,24.1782,-80.22504
0.6399999,0.4189273,0.5944788,1.533092,22.28402,-80.69083
0.6599999,0.4310602,0.6066442,1.41478,20.42696,-81.1561
0.6799999,0.442463,0.5701423,1.907883,19.91158,-80.19916
0.6999999,0.452038,0.4787505,1.868705,20.73368,-78.75098
0.7199998,0.4604455,0.4203737,1.601544,22.14454,-77.17908
0.7399998,0.4679205,0.3737509,1.291556,23.54433,-75.58276
0.7599998,0.4748107,0.3445089,1.042758,24.72176,-73.96173
0.7799998,0.4810709,0.3130078,0.8490364,25.32155,-73.23242
0.7999998,0.4875044,0.3216743,0.7545657,25.50424,-72.66751
0.8199998,0.4946221,0.3558874,0.6685819,25.43698,-71.73737
0.8399997,0.5031986,0.4288256,0.6850706,25.56719,-70.54919
0.8599997,0.5139441,0.5372763,0.4759077,26.19464,-69.51434
0.8799997,0.5265228,0.6289303,0.63978,27.81763,-68.88821
